Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Mads Roerslev,5(4),472,-,-,0.1,0.3,0.2,0.4,0.1,0.4,0.2,6.26
Adam Idah,5(13),613,3,1,0.8,0.8,0.2,0.2,0.2,0.7,1.1,6.26
Japhet Tanganga,2,180,-,-,-,-,-,1.5,-,-,2,6.26
Nathan Baxter,6(1),585,-,-,-,-,-,-,-,-,-,6.26
Mads Frökjaer-Jensen,2(16),501,2,-,0.3,0.2,0.6,0.3,-,0.4,0.5,6.26
Márk Kosznovszky,6(9),641,-,-,0.3,0.7,0.2,0.2,-,0.3,0.8,6.26
Jeremy Monga,7(15),802,1,2,0.3,0.3,1,0.7,0.1,1.4,1.4,6.26
Leo Hjelde,0(3),18,-,-,-,-,-,0.3,-,-,-,6.26
Caleb Wiley,3(2),223,-,-,0.6,0.2,0.2,0.4,-,0.2,1.2,6.26
Joe Walsh,11,990,-,-,-,-,0.1,0.3,-,-,-,6.26
David Akintola,6(15),504,1,2,0.5,0.3,0.1,0.3,0.2,0.2,1.3,6.25
Sidnei Tavares,6(5),566,-,1,0.7,0.3,0.1,0.9,-,0.1,0.5,6.25
Róbert Bozeník,7(12),624,1,-,1.1,0.2,-,0.5,0.7,0.3,1,6.25
Dion De Neve,8(13),838,-,1,0.2,0.6,0.2,-,-,0.2,0.8,6.25
Malick Yalcouyé,7(16),668,1,2,0.3,0.4,0.2,1.1,-,0.3,0.9,6.25
Stefán Thórdarson,6(9),519,-,1,0.5,0.7,0.1,0.3,-,0.2,0.4,6.25
Kuryu Matsuki,2(7),285,-,-,0.6,0.3,0.3,1,-,0.7,1,6.25
Matt Phillips,3(5),266,-,-,0.6,0.6,0.3,0.3,0.1,0.4,0.4,6.25
Barry Bannan,2(2),163,-,-,0.5,-,0.3,0.3,-,-,0.8,6.24
Andreas Weimann,5(20),690,1,3,0.6,0.3,0.2,0.1,0.2,0.2,0.5,6.24
Raphael Borges Rodrigues,0(2),35,-,1,-,1.5,-,0.5,-,1,-,6.24
Ryan Oné,0(6),128,-,-,0.2,0.7,0.7,0.2,0.2,0.5,1,6.23
Harvey Knibbs,5(18),510,3,-,0.3,0.3,-,0.3,0.1,0.2,0.4,6.23
Kwame Poku,3(5),284,-,-,0.6,0.6,0.8,0.3,-,1,1,6.23
Sverre Nypan,3(17),613,-,-,0.4,0.4,0.5,0.5,-,0.6,1.1,6.23
Willum Willumsson,5(5),393,-,-,0.6,0.7,0.1,0.2,0.1,0.8,1.2,6.23
Rayan Kolli,3(11),516,2,-,1.2,0.1,-,0.9,0.1,0.4,1.3,6.23
Nathaniel Chalobah,1(2),73,1,-,0.7,-,-,-,-,0.3,0.3,6.23
Favour Fawunmi,0(2),34,-,-,0.5,-,0.5,0.5,-,1,1,6.23
Harry Pickering,4(5),392,-,-,0.4,0.3,-,0.4,-,0.2,0.9,6.22
Sam Morsy,3(4),344,-,-,0.4,0.3,0.1,0.4,-,0.7,0.4,6.22
Kwadwo Baah,6(17),728,1,1,1,0.6,0.5,0.9,0.1,0.4,1,6.22
Lyndon Dykes,2(19),422,2,-,0.5,0.2,0.1,0.2,-,0.1,0.8,6.22
Toby Collyer,3(9),254,-,1,0.2,0.3,0.1,0.1,-,0.3,0.5,6.22
Oriol Romeu,0(5),67,-,-,-,0.2,-,-,-,-,-,6.21
Corey Blackett-Taylor,2(7),269,-,1,0.9,0.3,0.4,0.1,0.1,0.6,0.8,6.21
Asmir Begovic,7(1),675,-,-,-,-,-,0.4,-,-,0.1,6.21
Samuel Edozie,0(2),41,-,-,1,0.5,-,-,-,0.5,0.5,6.21
Manuel Benson,1(5),138,-,-,0.8,-,1,1.2,-,0.5,1,6.21
Sontje Hansen,3(10),358,1,-,0.8,0.4,0.5,0.6,-,0.3,1.4,6.21
Tyler Dibling,0(1),7,-,-,-,-,1,-,-,-,-,6.2
Isaac Olaofe,6(16),672,1,1,0.5,0.5,0.3,0.6,0.5,0.7,0.7,6.2
Danny Ings,4(12),490,1,-,0.9,0.2,0.3,0.4,0.4,0.6,1,6.2
Alfons Sampsted,2(4),209,-,-,-,0.5,-,0.7,-,0.2,0.8,6.2
Kristi Montgomery,2(10),323,-,-,0.1,-,0.2,0.8,-,0.8,0.3,6.19
Daniel Kelly,3(6),335,-,-,0.4,-,-,0.3,-,0.1,0.7,6.19
Ben Johnson,4(5),357,-,-,0.3,0.3,-,0.1,-,0.7,0.4,6.19
Nathan Tinsdale,0(1),1,-,-,-,-,-,-,-,-,-,6.19
Zan Celar,1(1),76,-,-,-,0.5,0.5,-,-,0.5,1,6.19
Haydon Roberts,3(9),375,-,-,0.2,0.5,0.3,0.2,-,0.3,0.4,6.19
Cameron Archer,7(13),651,2,-,1,0.3,0.4,0.4,0.4,0.5,1.3,6.19
Harvey Blair,2(5),264,-,-,0.3,0.6,1.1,0.6,-,0.7,1,6.18
Jamie Donley,0(1),33,-,-,-,-,-,2,-,-,-,6.18
Jeon Jin-Woo,1(1),91,-,-,1.5,1.5,-,-,1,0.5,1,6.18
Josh Maja,6(21),816,1,1,0.4,0.4,0.2,0.2,0.2,0.5,1.1,6.18
Kealey Adamson,0(3),49,-,-,1.3,0.3,0.3,0.3,-,-,0.3,6.18
George Earthy,2(2),187,-,-,0.8,0.3,0.3,0.5,-,0.8,1.8,6.18
Victor Kristiansen,2(3),167,-,-,-,0.2,-,-,-,-,-,6.17
Chiedozie Ogbene,1(1),87,-,-,-,0.5,0.5,0.5,-,-,1.5,6.17
Kasey Palmer,3(6),250,-,-,0.8,0.2,0.4,0.7,0.1,0.2,0.8,6.17
Keshi Anderson,0(2),39,-,-,-,0.5,-,-,-,0.5,0.5,6.17
Zak Vyner,0(1),5,-,-,-,-,-,-,-,-,-,6.17
Kasey McAteer,0(2),16,-,-,0.5,-,-,-,-,0.5,0.5,6.17
Kieran Morgan,5(11),483,2,1,0.3,0.2,0.1,0.1,0.1,0.3,0.6,6.16
Luke Le Roux,4(6),373,-,-,-,0.4,-,-,-,0.1,1,6.16
Louis Page,4(11),450,-,1,0.4,0.3,0.1,0.3,-,0.5,0.7,6.16
Errol Mundle-Smith,0(5),66,-,-,0.2,-,0.6,-,0.2,0.6,0.6,6.16
Ali Al Hamadi,0(1),11,-,-,-,-,1,-,-,1,-,6.16
Jaydon Banel,0(3),49,-,-,0.3,-,0.3,0.7,-,-,1,6.16
Axel Henriksson,9(9),753,-,-,0.6,0.8,0.2,0.4,0.2,0.3,1.3,6.16
Kenzo Goudmijn,1(2),94,-,-,0.7,-,-,-,-,-,-,6.16
Leo Pecover,0(3),44,-,-,-,-,-,0.3,-,-,1.3,6.16
Ibrahim Fullah,2(6),289,-,-,0.8,0.3,0.3,0.4,-,0.6,1.1,6.15
Makhtar Gueye,0(16),187,-,-,0.5,0.1,0.6,-,0.5,0.2,1.3,6.15
Moussa Sissoko,8(12),741,-,-,0.2,0.3,0.2,0.1,0.1,0.6,0.7,6.15
Kaly Sène,5(18),625,2,-,0.3,0.1,0.2,0.3,0.3,0.4,1,6.15
Abdoulaye Kanté,1(3),83,-,-,-,-,0.3,-,-,1,1.3,6.15
Dan Neil,0(2),36,-,-,0.5,0.5,-,2,-,-,-,6.15
Louie Barry,6(3),449,-,-,0.7,0.7,0.4,0.2,0.2,0.3,1.2,6.14
Kai Andrews,0(7),54,-,-,-,0.1,0.6,0.3,-,0.4,0.4,6.14
Makenzie Kirk,4(9),445,1,-,1.5,0.1,0.1,0.6,0.5,0.5,1,6.14
Zak Lovelace,0(1),2,-,-,-,-,-,-,-,-,-,6.14
Delano Burgzorg,1(3),149,-,-,0.8,0.3,1,-,0.3,1,0.8,6.14
Jesurun Rak-Sakyi,2(1),146,-,-,1,-,-,0.3,-,0.3,1,6.14
Yang Min-Hyeok,0(3),29,-,-,0.7,0.3,0.3,-,-,-,0.3,6.14
Luke Berry,5(8),421,1,-,0.8,0.5,0.1,0.5,0.1,0.4,1.4,6.14
Scott Wright,0(3),6,-,-,-,-,-,-,-,-,-,6.13
Lewis Koumas,7(16),747,1,-,0.5,0.3,0.3,0.4,0.2,0.6,1.4,6.13
Andrew Moran,0(1),3,-,-,1,-,-,-,-,-,2,6.13
Milos Lukovic,1,46,-,-,-,-,-,-,-,-,1,6.13
Ole Romenij,2(11),317,-,-,0.6,-,-,0.7,0.2,0.1,0.8,6.13
Jack Walton,3,270,-,-,-,-,-,-,-,-,-,6.13
Olly Thomas,0(3),16,-,-,-,0.3,0.3,0.3,-,0.3,0.3,6.12
Cole McGhee,5(1),436,-,-,0.5,0.2,0.2,-,-,-,0.5,6.12
Harry Amass,0(1),16,-,-,-,-,-,-,-,1,1,6.12
Michael Frey,2(11),307,-,-,0.4,0.2,-,-,0.2,0.6,0.9,6.11
Anthony Patterson,1,90,-,-,-,-,-,-,-,-,-,6.11
Jacob Brown,1(3),113,-,-,0.5,-,0.5,0.5,-,1,1.8,6.11
Kyogo Furuhashi,8(18),1001,1,-,1.2,0.2,0.2,0.3,0.3,0.5,1.2,6.11
Jarvis Thornton,6(7),482,-,-,0.3,0.1,0.2,0.3,-,0.2,0.4,6.11
Julián Carranza,3(6),315,-,-,0.8,0.1,-,0.4,0.2,0.4,1.6,6.11
Kayden Jackson,2(17),368,-,-,0.3,0.3,0.1,0.6,-,0.4,0.6,6.11
Daryl Dike,1(11),181,-,-,0.3,0.2,-,0.2,0.2,0.2,0.3,6.1
Mark Harris,10(15),888,2,-,0.6,0.2,0.1,0.4,0.2,0.3,1,6.1
Steven Benda,9,810,-,-,-,-,-,0.7,-,-,-,6.1
Ben Sheaf,0(1),7,-,-,-,-,-,-,-,-,-,6.1
Oliver Bostock,0(2),6,-,-,-,0.5,-,0.5,-,-,-,6.1
Silko-Amari Thomas,1(15),240,1,-,0.2,0.2,0.1,0.4,0.1,0.2,0.6,6.09
Jerry Yates,5,416,-,-,0.2,-,0.2,0.4,0.8,1.4,2.4,6.09
Ryan Allsop,10,900,-,-,-,-,-,0.4,-,-,-,6.09
