Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Mohamed Touré,2(1),170,4,1,3.7,0.7,1.3,0.7,1.3,0.3,2.3,7.78
Divine Mukasa,2(1),167,2,2,1.3,3.3,0.3,-,-,1,2,7.67
Eiran Cashin,7,630,1,1,0.4,0.4,0.3,-,-,0.4,0.7,7.58
Jonathan Panzo,1,90,-,-,-,-,-,-,-,-,1,7.53
Bilal El Khannouss,2,136,-,2,2.5,3,1.5,0.5,-,2,0.5,7.52
Ebou Adams,7(1),658,2,1,1.5,0.6,0.4,2.9,-,1.3,1.6,7.34
Lloyd Jones,33,2920,1,-,0.9,0.3,-,1,0.1,0.2,0.4,7.3
Femi Azeez,20(2),1685,7,4,2.6,1.8,1.5,0.7,0.8,0.9,2.5,7.26
Kai Wagner,8,701,-,1,0.3,2.3,0.4,1,-,0.5,0.9,7.26
Lyndon Dykes,7(1),667,1,3,1.9,0.9,0.3,1.3,0.1,1,2.1,7.24
Imrân Louza,29,2510,6,7,2.2,2.1,0.9,1,-,1.1,1.7,7.22
Caleb Taylor,18(4),1703,3,2,1.3,0.2,0.2,0.3,-,-,1,7.21
Léo Scienza,23(4),1795,5,7,2.4,1.7,1.7,3,-,1.4,2.6,7.21
Christoph Klarer,30,2700,2,-,0.6,0.2,0.2,0.8,0.1,0.2,0.3,7.2
Oliver McBurnie,19(4),1723,12,5,1.8,1.1,0.4,1,0.2,1.1,2.4,7.19
Torbjørn Heggem,1,90,-,-,-,-,-,1,-,-,1,7.19
Carlton Morris,16(2),1379,10,-,1.6,0.7,0.3,1.2,0.1,1.1,2.3,7.19
Adilson Malanda,8,715,-,-,0.3,0.6,0.1,0.3,-,0.3,0.4,7.19
Bobby Thomas,26,2302,2,4,1.1,0.8,0.2,0.8,0.2,0.2,0.7,7.18
Charlie Hughes,28(1),2565,1,1,0.5,0.3,0.3,0.7,-,0.4,0.8,7.17
Finn Azaz,1(1),93,1,1,1.5,1,-,-,-,2,0.5,7.17
Rob Atkinson,22(2),1807,3,1,0.3,0.5,0.1,1,-,0.1,0.5,7.16
Anis Ben Slimane,7(2),580,4,1,1.1,1.1,1,0.4,-,1.2,3,7.16
Jimmy Dunne,31,2762,3,3,0.7,0.5,0.2,0.6,0.1,0.4,0.8,7.15
Tristan Crama,33,2937,2,2,0.8,0.8,0.4,0.5,0.1,0.6,1.5,7.14
Frank Onyeka,2,161,-,-,0.5,0.5,1,2.5,-,0.5,2,7.14
Kieffer Moore,27(3),2341,11,3,2.3,0.8,0.4,1.3,0.5,1.1,3.3,7.13
Ciaron Brown,24,2151,1,1,0.7,0.4,-,0.9,-,0.3,0.6,7.13
Jannik Vestergaard,24,2133,3,-,0.7,0.1,0.3,0.8,-,0.1,0.4,7.13
Taylor Harwood-Bellis,28,2520,4,1,1,0.7,0.1,1.1,-,0.3,0.7,7.13
Victor Torp,22(5),1926,7,4,2.4,1.6,0.6,1,0.1,0.5,1,7.12
Joe Gelhardt,22(3),1864,11,3,2.4,0.9,1.4,1.6,-,1,1.8,7.12
Jake Cooper,32,2880,2,1,0.8,0.6,-,0.8,0.2,0.2,0.6,7.11
Sean McLoughlin,31,2741,-,-,0.7,0.2,0.3,0.5,-,0.2,0.6,7.1
Sam McCallum,15(5),1210,1,1,0.9,1.4,0.3,1.2,0.1,0.2,0.7,7.1
Liam Kitching,29,2573,2,-,1.3,0.5,0.2,0.9,0.1,0.1,0.5,7.1
Jordan Storey,32,2818,2,2,0.8,0.2,0.2,0.9,-,0.3,0.7,7.09
Anis Mehmeti,28,2348,8,6,2.6,1.7,1.4,1,0.8,1.8,1.8,7.09
Abdul Fatawu,32,2715,8,7,2.5,1.1,2.4,1.5,0.4,1.5,3.3,7.09
Rob Dickie,29(1),2581,1,-,0.6,0.3,0.2,1,-,0.1,0.4,7.08
Hayden Hackney,33,2892,4,5,2.5,2.1,1.4,1.3,0.1,1.2,1.7,7.08
Josh Vickers,3,270,-,-,-,-,-,0.3,-,-,-,7.06
Brandon Thomas-Asante,16(5),1369,10,4,2.1,0.8,0.5,1,0.1,0.9,2.5,7.06
Cameron Burgess,33,2970,-,-,0.6,0.3,-,0.5,0.1,0.2,0.2,7.05
Stephen Mfuni,4,316,-,-,0.8,0.3,1.3,-,-,0.8,1.5,7.04
Callum Elder,25(2),2149,1,5,0.3,1.4,0.1,0.5,0.1,0.7,0.8,7.04
Matt Clarke,32,2875,1,2,0.4,0.3,0.2,0.5,0.1,0.3,0.8,7.03
Matt Grimes,33,2959,-,2,0.8,1.9,0.3,0.8,-,0.5,0.5,7.03
Jeremy Ngakia,26(2),2297,2,4,0.7,0.9,1,0.5,0.1,0.5,1.2,7.03
Jacob Greaves,12(1),1002,1,-,0.8,0.6,0.3,0.8,-,0.2,0.3,7.01
Conor Shaughnessy,8(1),680,1,-,0.6,0.1,0.1,0.2,-,0.2,0.2,7
Benjamin Whiteman,32,2832,1,4,0.9,1.6,0.2,0.3,-,0.3,0.7,7
Ross McCrorie,25(4),2105,3,6,1.3,0.9,0.6,0.9,0.4,0.7,2.1,7
Todd Cantwell,18(2),1661,4,3,1.7,1.5,1.1,2.2,0.2,1.4,2.7,6.99
Michal Helik,30(1),2659,-,2,0.6,0.4,0.1,0.4,-,-,0.3,6.99
Nicolas Madsen,31(2),2764,3,6,1.1,1.6,0.2,0.5,-,0.2,0.7,6.98
Viktor Johansson,24,2160,-,1,-,0.1,-,0.5,-,-,-,6.97
Dael Fry,12(6),1109,2,-,0.3,0.3,-,0.6,0.1,0.1,0.2,6.97
Tayo Adaramola,3,248,-,1,0.7,0.7,2.3,1.3,-,0.7,1,6.97
Ilias Chair,9(2),808,1,2,2.6,2.3,1.1,0.2,0.5,0.5,0.7,6.97
Callum Brittain,28,2452,-,4,0.9,1.1,1.3,0.6,-,0.6,1.3,6.97
Ali Ahmed,6(1),451,2,2,1.1,1,0.7,2.1,0.4,1.1,2,6.96
Ryan Manning,23(7),2171,5,2,1.2,1.7,0.3,0.9,-,0.2,0.7,6.96
Matt Crooks,18(2),1641,2,3,0.8,1.1,0.8,0.5,0.2,0.4,1.1,6.96
Jaden Philogene,19(6),1551,9,2,2.1,0.9,0.9,1.5,0.4,1,2.9,6.96
Nathaniel Phillips,31,2658,3,-,0.9,0.2,-,0.4,-,0.1,0.4,6.96
Joe Ward,20(5),1805,1,6,0.6,1.4,0.6,0.4,-,0.2,0.7,6.95
Sondre Langås,18(1),1658,2,1,0.7,0.4,0.2,0.6,-,0.2,0.5,6.95
Lewis Baker,11(1),998,4,1,1.1,1.1,0.5,0.8,0.1,0.8,1.1,6.95
Japhet Tanganga,27,2387,1,-,0.7,0.3,0.1,0.8,0.2,0.3,0.7,6.95
Ben Cabango,32,2865,1,-,0.5,0.3,0.1,0.6,0.1,-,0.5,6.94
Othmane Maamma,18(2),1360,4,1,1.9,1.2,2.2,1.2,-,1.8,2.8,6.94
Brian De Keersmaecker,25(1),2248,1,5,1.5,1.4,0.6,0.8,-,0.8,1.4,6.94
Cédric Kipré,22,1946,3,1,0.8,0.5,0.2,0.7,0.1,0.4,0.7,6.94
Morgan Whittaker,29(3),2292,11,5,2.7,1.2,0.9,1.1,0.5,1.6,2.4,6.93
Ephron Mason-Clark,25(4),2086,7,3,1.9,1.6,1.1,1.6,0.8,1.4,2.2,6.93
Haji Wright,23(6),1958,13,1,2.6,0.5,0.4,0.8,1.1,0.8,2,6.92
Hayden Carter,5,398,-,-,0.2,0.4,-,-,-,0.2,0.6,6.91
Scott Wharton,7(2),672,-,-,0.7,0.2,0.1,0.6,0.1,-,0.2,6.91
Milan van Ewijk,31,2728,-,7,0.6,1,0.5,0.5,0.1,0.6,1.4,6.91
Murphy Cooper,7,630,-,-,-,-,0.3,-,-,-,0.1,6.9
Ben Gibson,2(2),249,-,-,1,0.3,0.3,0.3,-,-,1,6.9
Femi Seriki,20(7),1859,1,4,0.3,1,1.3,2,0.1,1,1.9,6.9
Dara O'Shea,31,2790,1,1,0.9,0.3,0.1,0.7,0.1,0.1,0.6,6.9
Mattie Pollock,22(2),1974,1,1,0.5,0.1,0.1,0.9,0.1,0.2,0.5,6.89
Josh Tymon,31(1),2821,1,7,0.7,1.9,0.3,0.5,0.1,0.5,1,6.89
Ruairi McConville,19(1),1719,-,1,0.7,0.2,0.3,0.4,-,0.2,0.8,6.89
Ben Mee,14(1),1249,-,1,0.4,0.2,-,0.4,-,0.2,0.4,6.88
Kenny McLean,29(1),2541,1,3,0.5,1.4,0.5,1.7,-,0.7,0.8,6.88
Tyler Bindon,15(1),1342,1,-,0.7,0.1,0.1,0.6,0.1,0.2,0.3,6.88
Lewis Gibson,19,1654,1,-,0.5,0.3,0.2,1.1,-,0.3,0.4,6.88
James Bree,19(2),1676,2,3,0.6,1.7,0.4,0.4,-,0.3,1.3,6.88
Matt Targett,28(2),2417,2,3,1,1.2,0.2,0.5,-,0.1,0.4,6.88
Marcelino Núñez,15(9),1433,3,7,2.2,2,0.5,0.5,-,1.1,1.9,6.87
Jayden Fevrier,0(2),70,1,-,1,0.5,0.5,-,-,3,0.5,6.87
Luke Ayling,26(4),2400,1,4,0.5,0.5,0.4,1.3,-,0.3,0.9,6.87
Neto Borges,19(7),1693,-,3,0.7,1.2,0.5,0.7,0.2,0.3,1.2,6.87
Phil Neumann,26,2277,2,-,0.3,0.2,0.1,0.7,0.1,0.1,0.6,6.87
Jordan James,23(1),1763,9,3,1.4,1.9,0.3,0.6,-,0.8,1.3,6.86
Scott Twine,30(2),2379,8,6,1.9,1.8,0.2,1.4,-,1.3,1.8,6.86
Tatsuhiro Sakamoto,22(5),1946,4,3,1.1,1.2,0.6,1.4,0.2,0.5,1.5,6.86
Jack Currie,19(5),1707,-,1,0.2,1,0.4,0.6,-,0.6,1.2,6.86
Max Cleworth,31,2790,1,4,0.8,0.5,0.1,0.2,0.1,0.3,0.7,6.86
Alfie Doughty,16(5),1328,-,5,0.5,2.1,0.6,0.2,-,0.5,1,6.86
Leif Davis,28(1),2509,2,2,0.7,1.6,0.5,1.3,0.3,0.4,1.8,6.86
Josh Edwards,7,553,-,-,0.4,1,0.1,2.1,-,-,1,6.86
Gustavo Caballero,2(1),160,1,-,1.7,1.3,-,0.7,0.3,0.7,2,6.86
Ibrahim Osman,4(1),339,1,-,2.4,0.4,1.4,2.4,0.6,1.4,3.4,6.86
Sydie Peck,25(2),2275,4,2,1.4,0.8,0.4,0.7,-,0.9,1.3,6.86
Dominic Hyam,4,360,-,-,0.3,-,0.3,0.5,-,-,0.3,6.86
Azor Matusiwa,30,2620,-,1,0.2,0.7,0.4,0.9,-,0.7,1.3,6.85
Zan Vipotnik,24(7),2072,16,2,2.1,0.6,0.2,0.6,0.6,0.4,1.5,6.85
Andrew Hughes,25(1),2219,-,-,0.5,0.4,0.1,0.5,-,0.2,0.7,6.85
Shea Charles,13(5),1266,1,1,1,0.9,0.7,2,-,0.6,1.3,6.85
David Cornell,4,360,-,-,-,-,-,0.3,-,-,-,6.85
Josh Sargent,23,1953,7,3,2.5,0.9,1,0.9,0.5,0.8,2.7,6.85
Sorba Thomas,33,2896,9,6,1.5,1.9,0.8,0.7,0.2,1.2,2.5,6.85
Terry Devlin,18(9),1646,5,1,0.8,0.6,0.3,0.8,-,0.4,1.2,6.85
Daniel Grimshaw,1,90,-,1,-,1,-,-,-,-,-,6.85
Lewis Miller,23(6),2154,2,2,0.6,0.3,0.3,1.4,-,0.7,1.3,6.85
Regan Poole,29,2610,-,-,0.4,0.3,-,0.6,0.1,0.3,0.6,6.85
Finn Azaz,25(4),2029,7,4,2.1,1.4,0.8,0.8,0.1,1.1,1.8,6.85
Maksym Talovierov,9(2),827,-,-,0.5,0.3,0.1,0.5,0.1,0.7,0.9,6.84
Ben Killip,1(1),154,-,-,-,-,-,-,-,-,-,6.83
Demarai Gray,22(3),1740,5,4,2.1,0.9,0.9,1.3,0.2,1.2,2,6.83
Jack Clarke,15(16),1554,12,1,1.2,1.2,1.3,1.2,-,1.3,1.8,6.83
Dominic Hyam,28,2512,-,-,0.3,0.1,0.1,0.8,0.1,-,0.3,6.83
Mikey Johnston,25(7),2201,2,9,1.8,1.7,1.7,0.7,0.1,1.2,1.6,6.83
Darnell Furlong,25,2207,-,2,0.3,0.6,0.2,1.3,-,0.2,0.9,6.82
Tommy Conway,32(1),2588,7,2,1.7,1.2,0.8,1.3,0.5,1,1.5,6.82
Patrick Agyemang,26(3),2194,10,3,2.2,0.8,1,1.6,0.6,2.6,3.4,6.82
Harry Amass,21,1868,1,1,0.7,0.6,1.6,1.8,-,1.6,2.8,6.82
Ben Wilmot,30(1),2703,3,-,0.5,0.2,-,0.7,0.1,-,0.2,6.82
Keenan Gough,1(1),91,-,-,-,-,1,-,-,-,0.5,6.82
Lawrence Vigouroux,33,2970,-,-,-,-,0.1,0.1,-,-,0.1,6.81
Lewis O'Brien,20(6),1817,4,4,0.8,1.3,0.7,1.3,0.1,1,1.8,6.81
Patrick Bamford,11(5),895,8,-,2.1,0.4,0.4,1.3,0.6,1.1,2.5,6.81
Ryan Hedges,18(4),1542,1,2,0.9,1.2,0.5,0.6,0.3,0.5,1.3,6.81
Jack Rudoni,19(4),1649,3,5,2,1.1,1.1,1.1,-,1.2,2.7,6.81
Callum Doyle,19(2),1706,2,-,0.7,0.5,0.6,0.5,0.1,0.7,0.8,6.81
Ashley Phillips,24(4),2265,-,1,0.4,0.2,-,0.1,0.3,-,0.7,6.81
George Thomason,16(5),1402,1,4,0.8,1,0.3,0.6,-,0.5,0.8,6.81
José Córdoba,13(3),1254,-,1,0.3,0.2,0.7,0.6,0.1,0.5,0.8,6.81
Marc Bola,26(2),2341,1,3,1,0.9,0.4,0.5,0.1,0.6,0.8,6.8
Gonçalo Franco,28(4),2376,3,4,0.8,0.9,0.6,1.7,-,0.9,1.6,6.8
Riley McGree,9(6),736,4,3,1.4,0.8,0.5,0.6,-,0.8,1.5,6.8
Gustavo Hamer,18(8),1668,2,9,1.8,1.6,0.6,0.9,0.1,0.3,0.8,6.8
Danny Ward,4,360,-,-,-,0.3,-,-,-,-,-,6.8
Junior Tchamadeu,19(1),1723,1,1,0.4,1,0.7,0.9,0.1,0.3,1.4,6.79
Adam Armstrong,24(5),2041,11,4,3,0.8,0.4,0.4,0.5,0.7,1.4,6.79
Sondre Tronstad,27(1),2342,-,2,0.7,0.6,1,0.7,-,0.5,1.1,6.79
Patrick Roberts,23(5),1876,3,4,1.5,1.4,1.3,1.2,-,0.8,1.6,6.79
Andre Brooks,20(9),1737,5,2,1.1,0.8,1.2,0.6,0.2,0.9,2,6.78
Steve Cook,21(6),1987,1,-,0.7,0.1,-,0.7,-,-,0.4,6.78
Richard Kone,27(4),2379,7,2,2.3,0.9,0.6,0.6,0.5,1.5,3.5,6.78
Aidan Morris,24(3),2034,-,2,1.1,1.1,0.9,2.4,-,0.8,1,6.78
Jack Robinson,2(1),213,-,-,0.7,0.7,-,1,-,-,0.3,6.78
Jack Stephens,21(1),1896,2,-,0.5,0.3,0.2,0.6,0.2,0.3,0.4,6.78
Max Alleyne,14(2),1266,-,-,0.3,0.1,0.4,0.5,0.1,0.1,0.7,6.78
Millenic Alli,8,697,1,1,2.8,0.9,1.8,1.1,0.8,3.1,4.5,6.78
Romain Esse,4(3),378,2,-,1.6,0.4,1.3,1,0.4,1.1,1.9,6.77
Pelle Mattsson,21(1),1872,-,-,1,0.8,0.6,2,-,0.6,1.8,6.77
Alex Cochrane,18(1),1531,1,4,0.5,0.9,0.2,1,-,0.2,0.6,6.77
Caleb Okoli,19(2),1629,-,1,0.3,0.3,-,0.8,-,0.1,0.9,6.77
Alfie Devine,26(6),2212,6,2,1.9,1,0.5,0.6,0.1,0.5,1,6.77
John Egan,27(2),2357,1,-,0.5,0.2,0.1,0.7,0.1,-,0.4,6.77
Mark McGuinness,15(4),1314,1,-,0.8,0.1,0.2,0.3,0.2,0.2,0.3,6.76
Mohamed Belloumi,5(7),519,1,3,1.5,1,1.1,0.5,0.4,0.8,1.4,6.76
Issa Kaboré,16(1),1353,-,4,0.5,0.8,1.1,1.6,0.1,1.4,2.8,6.76
Jay Dasilva,29(1),2506,-,1,0.4,1.2,0.7,0.3,-,0.5,0.5,6.76
Ethan Laird,4(4),384,-,1,0.8,0.5,0.5,2,-,0.6,0.8,6.76
Joel Latibeaudiere,7,630,-,-,0.6,-,-,0.9,0.1,0.1,1.1,6.76
Sonny Carey,29(4),2410,8,1,2.2,1,0.6,0.8,-,1,1.5,6.76
Ryan Longman,20(7),1787,2,1,0.7,0.7,0.6,0.5,0.1,0.4,0.9,6.75
Ethan Galbraith,30(3),2635,2,1,1.4,0.8,0.7,1.2,-,0.7,1.6,6.75
Massimo Luongo,7(2),567,-,-,0.7,0.7,-,0.4,-,0.6,0.8,6.75
Liam Lindsay,11(7),1055,-,-,0.4,0.1,-,0.4,0.1,0.1,0.4,6.75
George Tanner,23(5),2146,-,-,0.1,0.3,0.3,0.7,-,0.1,0.4,6.75
James Abankwah,19(1),1649,-,-,0.3,0.4,0.5,0.8,0.1,0.4,0.7,6.75
Christ Makosso,4,360,-,-,0.3,0.8,1.3,0.5,-,0.3,1.5,6.75
Connor Ogilvie,21,1733,-,-,0.8,0.4,0.2,1.8,-,0.1,0.6,6.74
Collins Sichenje,1,90,-,-,-,-,-,1,-,-,-,6.74
Barry Bannan,28,2457,3,3,1,1.9,0.6,0.5,-,0.7,0.8,6.74
Brodie Spencer,16(2),1432,-,-,0.2,0.1,0.4,0.7,-,0.8,1.1,6.74
Zak Swanson,22(5),1784,1,-,0.8,0.5,0.3,0.7,-,0.2,0.6,6.74
Alfie Jones,22,1886,1,1,0.3,0.1,-,0.3,-,0.3,0.5,6.74
Callum O'Hare,30(3),2580,8,5,1.6,1.2,0.5,1.3,-,0.8,2.2,6.74
Mihailo Ivanovic,27(4),2358,7,1,1.9,0.7,0.3,0.5,0.5,0.6,2.1,6.73
Christian Walton,21(1),1956,-,-,-,-,-,0.1,-,-,-,6.73
Lewie Coyle,25(2),2202,-,4,0.3,0.9,0.2,1,-,0.2,0.6,6.73
Bristol City,28,2520,-,-,-,-,-,0.4,-,-,0.1,6.73
Liam Millar,10(9),964,2,2,1.4,0.7,0.9,0.6,0.4,0.4,1.4,6.73
Adam Randell,33,2804,2,1,0.8,0.7,0.4,1.3,-,0.5,1.1,6.73
Marcelino Núñez,1(1),71,-,1,2,0.5,-,1,-,-,0.5,6.73
Paik Seung-Ho,30(1),2562,4,-,1.1,0.8,0.5,0.8,-,0.4,1,6.73
George Dobson,21(9),2064,1,1,0.5,0.7,0.5,0.6,0.1,0.6,0.9,6.73
Liam Morrison,12,1040,-,1,0.5,0.3,0.1,0.3,-,0.2,0.3,6.73
Ricardo Pereira,21(5),1971,2,1,0.4,0.8,0.5,0.5,-,0.7,0.6,6.73
James Bree,5,439,-,1,1,0.4,-,-,-,0.2,0.2,6.73
Callum Styles,28(4),2501,-,2,0.6,0.8,0.3,0.8,-,0.7,1.2,6.72
Bosun Lawal,21(2),1763,1,-,1,0.3,0.5,1,-,0.7,1,6.72
Gavin Bazunu,1,90,-,-,-,-,-,1,-,-,-,6.72
Jovon Makama,18(10),1613,10,-,1.5,0.5,1,0.5,0.4,0.7,1.9,6.72
Ryan Alebiosu,24(2),2092,1,2,0.5,1,0.7,0.2,0.1,0.4,1.5,6.72
Ben Chrisene,13(4),1108,1,1,0.4,0.4,0.5,0.6,0.1,0.7,1.2,6.72
Pierce Charles,9,810,-,1,-,0.1,-,0.2,-,-,-,6.72
Yuki Ohashi,28(5),2460,7,1,2.2,0.6,0.8,1.1,0.5,1.2,2.7,6.72
Tomi Horvat,3,198,-,2,1.3,0.7,0.7,-,-,1,1.3,6.72
Daniel Iversen,26,2340,-,1,-,0.1,-,-,-,-,0.1,6.72
Anis Mehmeti,3(1),257,1,-,1,1.3,1.3,0.8,0.3,1.8,2,6.71
George Campbell,20(6),1930,1,2,0.7,0.6,0.7,0.6,-,0.5,0.9,6.71
Dion Sanderson,26(2),2313,1,-,0.2,0.1,0.1,0.4,-,0.3,0.3,6.71
Regan Slater,27(5),2465,2,2,0.8,0.7,0.8,0.8,0.1,0.5,0.9,6.71
Jhon Solís,4(2),389,-,-,1.2,-,1,0.5,-,0.8,1.2,6.71
Caspar Jander,25(3),2103,2,-,0.6,0.8,0.6,1.1,-,1,1,6.71
Ali McCann,17(6),1532,1,1,0.5,0.7,0.3,0.6,-,0.8,1.6,6.71
Craig Forsyth,10(1),895,-,-,0.2,0.4,0.3,0.2,-,0.1,0.5,6.71
Tomoki Iwata,31(1),2759,2,1,1.3,1.1,0.2,0.8,-,0.4,0.9,6.71
Marko Stamenic,21(4),1809,2,2,0.7,0.3,0.3,0.6,-,0.2,0.7,6.7
Dominic Iorfa,24,1952,1,-,0.5,0.2,-,0.7,-,0.3,0.7,6.7
Luke Thomas,26(4),2380,-,4,0.4,1.2,0.2,0.7,-,0.3,0.7,6.7
Carlos Vicente,2(2),196,1,1,1,1.3,0.3,0.3,0.3,-,1.8,6.7
Carl Rushworth,33,2970,-,1,-,0.2,0.1,0.2,-,-,-,6.7
Yu Hirakawa,2(3),244,-,1,0.4,1,0.8,0.6,-,0.6,2.4,6.7
Ross Stewart,7(9),631,5,2,1.1,0.5,0.1,0.3,0.4,0.4,0.8,6.7
Joe Lumley,2,180,-,-,-,-,-,-,-,0.5,-,6.7
Max Crocombe,23,2070,-,-,-,-,-,0.2,-,-,-,6.69
Jamie McDonnell,5(1),393,-,-,0.2,0.2,0.2,-,-,0.2,0.3,6.69
Conor Coady,5,376,-,-,0.4,0.4,0.2,0.6,0.2,0.2,0.6,6.69
James Justin,2,155,-,-,1.5,1.5,-,2.5,-,1,1.5,6.69
Casper De Norre,18(2),1524,1,2,0.7,0.7,0.1,0.7,-,0.5,0.8,6.69
Ben Nelson,17,1434,-,-,0.4,0.1,0.2,0.4,-,0.2,0.6,6.69
Semi Ajayi,9(3),867,1,-,0.4,-,0.2,0.6,-,0.3,0.4,6.69
Chris Mepham,21(4),1935,1,-,0.2,0.2,0.2,0.4,-,0.1,0.4,6.69
Oscar Schwartau,21(9),1859,3,1,1,0.8,1,0.5,0.3,1.3,1.5,6.69
Luke Woolfenden,7(5),705,-,-,0.4,0.4,-,-,-,0.1,0.4,6.69
Papa Diallo,6(3),540,-,2,0.9,1.1,0.7,0.4,0.3,0.3,1.9,6.68
Rumarn Burrell,21(5),1847,10,3,1.3,0.8,0.5,0.6,0.6,1.1,2.8,6.68
James Beadle,23,2070,-,-,-,-,-,0.1,-,-,-,6.68
Josh Windass,19(9),1581,9,5,1.8,1,0.2,0.6,0.5,0.6,1.4,6.68
Nathan Broadhead,14(12),1365,5,4,1.6,0.9,0.9,0.5,0.2,1,1.5,6.68
Ryan Giles,26(1),2169,-,8,0.4,1.3,0.4,0.1,0.1,0.3,0.7,6.68
Luca Kjerrumgaard,25(6),2076,8,1,1.5,0.6,0.2,0.5,0.2,1.1,2.8,6.68
Miles Leaburn,17(12),1720,1,1,1.1,0.6,0.4,1,0.2,0.8,1.9,6.68
Amadou Mbengue,25(4),2243,2,-,0.5,0.3,0.4,1,-,0.6,1.3,6.68
Jonathan Varane,20(4),1618,1,2,0.5,0.3,0.3,1.1,-,0.5,0.8,6.68
Ryan Leonard,11(8),1097,-,1,0.3,0.5,0.2,0.8,-,0.3,0.4,6.67
Luke Chambers,6,446,-,1,0.7,0.7,0.2,0.2,0.2,-,1.5,6.67
Josh Murphy,12(2),1062,-,6,2.4,1.7,1.2,2.1,0.4,0.9,2.9,6.67
Aaron Cresswell,20(2),1802,-,3,0.6,0.9,0.1,0.4,0.1,-,0.7,6.67
Dan Scarr,10(4),892,-,1,0.1,0.1,-,0.2,-,-,0.2,6.67
Lewis Brunt,6(3),551,-,-,0.2,-,0.2,0.6,-,0.1,0.1,6.67
Arthur Okonkwo,29(1),2611,-,-,-,-,-,0.1,-,-,-,6.67
Jordan Ayew,22(8),1983,5,3,1.3,0.7,0.7,1.7,0.2,1.7,2.4,6.67
Mateus Fernandes,2(1),190,-,1,1.3,1.7,0.3,0.7,-,0.7,1.3,6.66
Egil Selvik,27,2386,-,-,-,-,-,0.1,-,-,-,6.66
Colby Bishop,26(3),2379,2,-,1.5,0.4,0.2,0.9,0.4,0.8,2,6.66
Jakov Medic,12(2),1119,-,1,0.1,0.2,0.3,0.5,0.1,0.1,0.5,6.66
Jamaldeen Jimoh-Aloba,3,193,-,-,0.7,0.7,1.3,2,0.3,1.7,2.3,6.66
Darnell Furlong,3,270,-,-,1,1.3,0.7,0.7,-,0.3,1,6.65
Ellis Simms,10(20),1095,10,2,1.6,0.4,-,-,0.2,0.2,1.3,6.65
Kellen Fisher,26(4),2369,-,-,0.4,0.6,0.4,1,0.1,0.6,1.1,6.65
Alan Browne,16(11),1617,3,1,0.7,0.5,0.6,1,-,0.4,1.3,6.65
Krystian Bielik,9(6),811,-,-,0.3,0.1,0.1,0.5,-,0.2,0.3,6.65
Amari'i Bell,22(1),1865,-,-,0.1,0.3,0.4,1.3,-,0.3,0.9,6.65
Rhys Norrington-Davies,22(4),1997,-,-,0.3,0.5,0.5,0.5,-,0.5,0.8,6.65
Sam Long,23(4),2119,1,1,0.5,0.4,0.2,0.3,-,0.2,0.7,6.65
Ivor Pandur,32,2880,-,-,-,-,-,0.2,-,-,-,6.64
Million Manhoef,23(9),2073,5,2,1.8,1.1,1.4,0.6,0.6,1.6,2.5,6.64
Marvin Ducksch,19(5),1452,8,1,1.6,0.9,0.1,0.1,0.3,0.4,1.1,6.64
Saba Goglichidze,2(1),167,-,-,-,-,-,1,-,-,-,6.64
Josh Coburn,10(4),865,3,-,1.4,0.7,0.1,1.3,0.1,0.7,1.6,6.64
Kyle Joseph,22(8),1779,7,2,1.2,0.5,0.5,0.9,0.3,0.9,1.9,6.64
Ben Sheaf,24(3),1818,-,-,0.7,0.6,0.6,1.1,-,0.6,1.2,6.64
Oliver Rathbone,5(8),485,5,-,1,0.7,0.3,0.9,0.1,0.5,1.8,6.64
Kayne Ramsay,25(3),2299,-,-,0.4,0.3,0.4,0.9,-,0.5,0.7,6.64
Tommy Simkin,8,720,-,-,-,-,-,0.1,-,-,-,6.64
Max Bird,0(6),160,2,-,0.7,0.3,0.2,0.2,-,0.2,0.3,6.64
Bae Jun-Ho,26(5),2298,1,3,1.2,0.9,1.1,1,-,0.7,1.9,6.63
Ebou Adams,16(7),1505,1,-,0.4,0.1,0.1,1.6,0.2,0.7,0.9,6.63
Lewis Dobbin,21(5),1574,7,5,1.8,1,0.8,0.7,0.2,1.3,2.9,6.63
Andri Gudjohnsen,17(5),1435,7,-,1.3,0.6,0.2,1,0.1,1,2,6.63
Rocco Vata,6(6),523,2,2,2,0.9,1,0.3,0.2,1.3,1,6.63
Matty James,19(12),1799,1,2,0.2,0.6,0.3,0.5,-,0.3,0.4,6.63
Ryoya Morishita,21(3),1562,2,4,1.2,1.1,0.6,1,0.1,0.8,2.1,6.63
Callum Lang,7(1),578,2,-,1.3,0.9,1.3,1.6,0.3,1.1,3.6,6.63
Harrison Armstrong,13(4),1132,1,1,0.5,0.5,0.5,1.2,-,0.5,1.2,6.63
Isaac Price,30(3),2518,6,2,2.2,1.2,0.4,0.6,0.2,0.6,1.9,6.63
Jairo Riedewald,12(2),923,1,-,0.3,-,0.1,0.2,-,0.1,0.6,6.63
Michael Cooper,33,2926,-,-,-,-,-,0.2,-,-,0.1,6.62
Billy Mitchell,17(4),1471,-,1,0.3,0.6,0.3,0.5,-,0.5,1.3,6.62
Akin Famewo,6(7),550,1,-,0.2,-,0.2,0.6,-,0.2,0.2,6.62
