Player,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Oliver Rathbone,5(8),485,-,0.7,16.3,77.8,0.3,0.4,-,6.64
Kayne Ramsay,25(3),2299,-,0.3,27.7,75.4,0.1,2,-,6.64
Tommy Simkin,8,720,-,-,41.9,58.5,-,5.8,-,6.64
Max Bird,0(6),160,-,0.3,14.5,79.3,0.3,0.8,-,6.64
Bae Jun-Ho,26(5),2298,3,0.9,21.6,80.4,0.1,0.4,0.1,6.63
Ebou Adams,16(7),1505,-,0.1,21.4,78,0.1,1.3,-,6.63
Lewis Dobbin,21(5),1574,5,1,12.7,76.7,0.1,0.4,-,6.63
Andri Gudjohnsen,17(5),1435,-,0.6,17,67.4,-,0.3,-,6.63
Rocco Vata,6(6),523,2,0.9,12.7,67.8,0.6,0.6,0.2,6.63
Matty James,19(12),1799,2,0.6,28.3,83.9,0.5,1.5,0.1,6.63
Ryoya Morishita,21(3),1562,4,1.1,21.8,76.5,0.6,0.7,0.2,6.63
Callum Lang,7(1),578,-,0.9,14.8,78,0.8,0.4,-,6.63
Harrison Armstrong,13(4),1132,1,0.5,25.1,80.8,-,1.1,-,6.63
Isaac Price,30(3),2518,2,1.2,24.5,77.8,0.2,1.3,-,6.63
Jairo Riedewald,12(2),923,-,-,27.2,85.3,-,0.7,-,6.63
Michael Cooper,33,2926,-,-,31.4,52.5,-,6.1,-,6.62
Billy Mitchell,17(4),1471,1,0.6,37.9,80,0.1,3.2,-,6.62
Akin Famewo,6(7),550,-,-,13.7,69.1,-,0.6,-,6.62
Mathias Jørgensen,6(2),570,-,0.3,12,76,0.1,0.3,-,6.62
Sam Field,2(1),208,-,-,45.3,80.9,-,0.7,-,6.62
Vladan Kovacevic,32,2880,-,-,29.2,69.5,-,4.6,-,6.62
Filip Krastev,10(6),857,1,0.8,14.3,77.6,-,0.3,-,6.62
Eom Ji-Sung,22(10),1725,1,1.2,14.5,77.8,0.8,0.5,0.1,6.62
Max Lowe,20,1776,1,0.7,45.2,77.4,0.3,2.1,-,6.61
Odeluga Offiah,21(10),2032,-,0.2,21.3,82.3,0.1,0.6,-,6.61
Thierry Small,23(9),2074,2,0.8,11.5,70.5,1.1,0.3,-,6.61
Ronald,26(7),2360,4,0.7,18.7,77,0.3,0.4,-,6.61
Yuri Ribeiro,9(2),779,-,0.7,29.3,73,0.5,0.9,-,6.61
Zak Vyner,27,2323,-,0.3,46,77.8,0.1,2.4,0.1,6.61
Jay Stansfield,29(2),2416,5,1,11.4,68.3,0.1,0.3,0.1,6.6
Ben Hamer,7,559,-,-,26.9,66.5,-,6.9,-,6.6
Harry Clarke,6(2),542,1,0.8,18.5,73.6,0.6,1.4,-,6.6
Liam Cooper,10(4),910,-,0.1,35.9,77.9,-,1.9,-,6.6
Abu Kamara,1(1),103,-,1,10.5,81,0.5,0.5,-,6.6
Barnaby Williams,0(1),45,-,-,13,84.6,-,-,-,6.6
Derry John Murkin,1(1),118,-,0.5,24,75,0.5,1,-,6.6
Mamadou Doumbia,15(8),1350,-,0.8,14.8,77.4,0.2,0.3,-,6.6
Harry Darling,25(1),2207,-,0.1,55.9,88.9,-,2.2,-,6.6
Conor Chaplin,19(5),1598,3,1.4,24.8,76.5,0.7,1.4,0.1,6.6
Pol Valentín,16(8),1453,2,0.3,15.3,66.7,0.4,0.4,-,6.59
Sol Brynn,33,2970,1,-,20.5,62.3,-,2.6,-,6.59
Jack Robinson,10(1),804,1,0.4,44.4,89.8,-,2.4,-,6.59
Danny Batth,7(2),603,-,-,25.9,80.7,-,1.1,-,6.59
Greg Docherty,21(7),2001,3,0.8,20.6,66.9,-,0.4,-,6.59
Cody Drameh,9(4),786,1,0.5,24.6,76.3,0.2,1,-,6.59
Moussa Baradji,9(10),990,-,0.4,21.7,78,-,0.7,-,6.59
Alex Mowatt,25(4),2123,3,1.3,47.9,87.8,0.9,2,-,6.59
Alex Bangura,6(2),438,1,0.6,28.8,92.6,0.3,0.3,-,6.59
Jacob Widell Zetterström,28,2520,-,-,31.8,54.7,-,7.9,-,6.58
Aune Heggebø,27(6),2330,3,0.6,12.8,73.2,-,0.1,-,6.58
Flynn Downes,23(3),1907,-,0.4,36.2,87.7,-,0.8,-,6.58
Tom Ince,9(10),873,-,0.8,15.2,85.4,0.6,0.8,0.1,6.58
Harrison Burrows,18(13),1842,3,1.1,30.6,75.6,1,1.5,-,6.57
Balázs Tóth,21,1889,-,-,28.4,52.2,-,5.1,-,6.57
Karlan Grant,17(6),1548,-,0.8,23.9,77.6,0.6,0.6,-,6.57
Edo Kayembe,18(9),1662,-,1.1,29.4,85.9,0.3,1.3,-,6.57
Emil Riis,27(5),2137,1,0.7,14.1,65.6,0.1,0.2,-,6.57
Rhian Brewster,15(8),1184,1,0.5,12.3,69.6,0.1,0.7,0.1,6.57
Nestory Irankunda,11(16),1119,3,0.9,12.1,72,-,0.3,-,6.57
Adrian Segecic,18(8),1604,1,1,10.4,70.5,0.7,0.3,0.1,6.57
Kévin Keben,18(4),1676,1,0.2,46.7,86.4,-,1.9,-,6.56
Nathan Wood,23(2),2050,1,0.1,56.4,93.5,-,2,-,6.56
Jakub Stolarczyk,26,2296,-,-,30.5,67.1,-,3.9,-,6.56
Cameron Brannagan,24,2033,1,0.8,34.6,78,0.4,2.5,-,6.56
James McClean,10(6),910,2,0.5,17.4,77.8,0.6,1.3,-,6.56
John Swift,17(5),1336,2,1,31.5,82.5,0.6,1.4,-,6.56
Josh Knight,10(4),973,-,0.1,29.1,79.1,0.1,1.6,-,6.56
August Priske,1(4),191,1,0.4,5.4,51.9,-,0.2,-,6.55
Tom Fellows,20(7),1693,4,1.3,20.6,85.4,0.6,0.5,-,6.55
Thomas Kaminski,33,2970,-,-,32.2,57.2,-,8.5,-,6.55
Marlon Pack,11(11),1210,-,0.9,35.7,82.2,0.5,2.3,-,6.55
Formose Mendy,1(3),126,-,0.5,15.8,79.4,0.5,0.5,-,6.55
Isaac Hayden,10(10),1004,2,0.8,21.4,78.5,0.1,0.6,0.1,6.55
Hector Kyprianou,22(3),1916,1,0.3,34.9,86,-,1.9,-,6.55
Cyle Larin,0(3),53,-,-,2.7,87.5,0.3,-,-,6.55
Gustavo Nunes,2(3),204,-,0.2,12.2,73.8,0.2,-,-,6.54
Chiedozie Ogbene,9(2),760,1,1.3,21,78.8,0.6,0.4,0.1,6.54
Ben Brereton,27(1),2084,3,0.9,16.1,74.8,0.3,0.7,0.1,6.54
Lewis Travis,1,81,-,1,54,88.9,-,4,-,6.54
Ruben Roosken,1(1),131,-,1.5,13,69.2,1,0.5,-,6.54
Ronnie Edwards,4,360,-,0.8,46.5,81.2,-,2.3,-,6.54
Harvey Vale,13(5),1029,1,1.2,18.8,67,0.6,0.4,0.1,6.54
Jamie Cumming,33,2970,-,-,30.9,50,-,7.6,-,6.54
Jason Knight,17(4),1604,2,0.5,51.9,82.1,0.2,2.2,-,6.54
Ernie Weaver,4(2),354,-,-,21.8,73.3,-,0.8,-,6.54
Matty Jacob,1(4),172,-,0.4,14.8,77,-,0.2,-,6.53
Reece Burke,9(4),750,-,0.2,20.1,63.6,0.1,0.5,-,6.53
Bobby Clark,25(7),2243,2,0.6,22.7,72.2,-,0.7,-,6.53
Welington,11(4),857,-,0.6,25.7,80.3,0.2,1.4,-,6.52
Alex Gilbert,7(7),676,1,0.6,32.8,86.3,0.1,1.4,-,6.52
Conor Coady,5,442,-,0.2,42.8,89.7,-,4.6,0.2,6.52
Leo Castledine,1(2),136,-,0.3,12.3,86.5,-,0.3,0.3,6.52
Joshua Quarshie,11(1),944,-,0.4,56.5,88.6,-,1.8,-,6.52
Sindre Egeli,15(6),1251,2,0.7,17.8,73,0.4,0.4,-,6.52
Ben Godfrey,4,318,-,0.3,33,81.1,0.3,0.5,-,6.52
Harry Winks,16(5),1591,2,1,56,90.3,0.2,1.5,-,6.52
Yan Valery,23,2050,1,0.7,32.2,77,0.2,1.5,-,6.51
Amir Hadziahmetovic,20(7),1552,2,0.6,26.4,76.9,0.2,1.2,-,6.51
Camiel Neghli,24(9),2132,2,0.7,23,73.1,0.4,1,-,6.51
Josh Eccles,14(10),1102,-,0.6,15.2,83.2,0.1,0.5,-,6.51
Josef Bursik,9,810,-,-,42.3,52,-,9.8,-,6.51
Stephy Mavididi,24(5),1845,1,0.6,18.4,79.2,0.2,0.4,-,6.51
