Player,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
Alfons Sampsted,2(4),209,0.3,0.8,0.3,-,0.8,0.2,-,-,6.2
Kristi Montgomery,2(10),323,0.8,0.1,0.2,0.1,0.6,0.2,0.1,-,6.19
Daniel Kelly,3(6),335,0.6,0.1,0.4,-,1,0.6,0.2,-,6.19
Ben Johnson,4(5),357,0.9,0.3,0.7,-,0.7,0.1,-,-,6.19
Nathan Tinsdale,0(1),1,-,-,-,-,2,-,-,-,6.19
Zan Celar,1(1),76,-,-,-,-,1,-,-,-,6.19
Haydon Roberts,3(9),375,0.3,0.3,0.3,0.1,0.8,0.1,-,-,6.19
Cameron Archer,7(13),651,0.3,-,0.7,-,0.2,0.1,-,-,6.19
Harvey Blair,2(5),264,0.6,-,0.4,-,-,0.6,-,-,6.18
Jamie Donley,0(1),33,-,-,-,-,-,-,1,-,6.18
Jeon Jin-Woo,1(1),91,-,-,0.5,-,1,-,-,-,6.18
Josh Maja,6(21),816,0.3,0.2,0.4,-,0.1,-,-,-,6.18
Kealey Adamson,0(3),49,0.7,-,0.7,-,0.3,0.3,-,-,6.18
George Earthy,2(2),187,1,-,1.3,-,0.3,0.5,0.3,-,6.18
Victor Kristiansen,2(3),167,1.2,0.2,-,-,1.2,1.2,-,-,6.17
Chiedozie Ogbene,1(1),87,0.5,0.5,-,-,-,-,-,-,6.17
Kasey Palmer,3(6),250,0.8,0.1,0.6,-,0.2,0.1,-,-,6.17
Keshi Anderson,0(2),39,-,-,-,-,-,0.5,-,-,6.17
Zak Vyner,0(1),5,-,-,-,-,-,-,-,-,6.17
Kasey McAteer,0(2),16,0.5,-,-,-,-,-,-,-,6.17
Kieran Morgan,5(11),483,0.5,0.3,0.5,0.1,0.6,0.3,0.1,-,6.16
Luke Le Roux,4(6),373,0.7,0.7,1.2,-,0.8,0.3,-,-,6.16
Louis Page,4(11),450,0.4,0.3,0.2,0.1,0.1,0.2,0.1,-,6.16
Errol Mundle-Smith,0(5),66,1.2,-,0.2,-,0.2,0.2,-,-,6.16
Ali Al Hamadi,0(1),11,-,-,1,-,-,-,-,-,6.16
Jaydon Banel,0(3),49,-,0.3,0.3,-,-,-,-,-,6.16
Axel Henriksson,9(9),753,0.7,0.2,1.3,-,0.3,0.6,-,1,6.16
Kenzo Goudmijn,1(2),94,0.7,-,1.3,-,0.3,-,-,-,6.16
Leo Pecover,0(3),44,0.7,0.7,-,-,-,-,-,-,6.16
Ibrahim Fullah,2(6),289,0.5,0.4,0.4,-,0.5,0.4,-,-,6.15
Makhtar Gueye,0(16),187,0.1,0.1,0.4,-,0.1,-,-,-,6.15
Moussa Sissoko,8(12),741,0.8,0.2,0.6,-,0.4,0.3,0.1,-,6.15
Kaly Sène,5(18),625,0.6,-,0.4,-,0.3,-,-,-,6.15
Abdoulaye Kanté,1(3),83,0.8,0.3,0.5,-,1,-,-,-,6.15
Dan Neil,0(2),36,0.5,-,-,-,-,0.5,-,-,6.15
Louie Barry,6(3),449,0.8,-,0.3,-,0.2,0.8,-,-,6.14
Kai Andrews,0(7),54,0.1,-,-,-,-,-,0.1,-,6.14
Makenzie Kirk,4(9),445,0.1,-,0.5,-,0.2,0.2,0.2,-,6.14
Zak Lovelace,0(1),2,-,-,-,-,1,-,-,-,6.14
Delano Burgzorg,1(3),149,-,-,0.5,-,0.5,-,-,-,6.14
Jesurun Rak-Sakyi,2(1),146,0.7,0.3,0.7,-,0.3,0.7,-,-,6.14
Yang Min-Hyeok,0(3),29,0.3,-,0.3,-,-,-,-,-,6.14
Luke Berry,5(8),421,0.5,0.2,1.1,-,0.4,0.3,0.1,-,6.14
Scott Wright,0(3),6,0.3,-,-,-,0.3,0.3,-,-,6.13
Lewis Koumas,7(16),747,0.5,-,0.8,-,0.2,0.2,-,-,6.13
Andrew Moran,0(1),3,1,-,1,-,1,-,-,-,6.13
Milos Lukovic,1,46,-,-,1,-,-,-,-,-,6.13
Ole Romenij,2(11),317,0.5,0.1,0.2,-,0.8,0.1,-,-,6.13
Jack Walton,3,270,-,-,-,-,2.7,-,-,-,6.13
Olly Thomas,0(3),16,-,-,0.7,-,-,-,-,-,6.12
Cole McGhee,5(1),436,0.7,0.8,1.2,0.7,4.5,1,0.3,1,6.12
Harry Amass,0(1),16,-,1,-,-,-,-,-,-,6.12
Michael Frey,2(11),307,0.5,0.1,0.6,-,0.3,-,0.1,-,6.11
Anthony Patterson,1,90,-,-,-,-,-,-,-,-,6.11
Jacob Brown,1(3),113,0.3,0.3,0.3,-,-,-,-,-,6.11
Kyogo Furuhashi,8(18),1001,0.3,0.2,0.7,-,0.2,0.1,-,-,6.11
Jarvis Thornton,6(7),482,0.5,0.6,0.8,-,0.3,0.3,0.1,-,6.11
Julián Carranza,3(6),315,0.6,0.2,1,-,0.2,0.2,-,-,6.11
Kayden Jackson,2(17),368,0.2,0.1,0.4,-,0.5,0.2,-,-,6.11
Daryl Dike,1(11),181,-,-,0.8,-,0.3,0.1,-,-,6.1
Mark Harris,10(15),888,0.2,0.1,0.8,-,0.4,0.1,-,-,6.1
Steven Benda,9,810,-,-,-,-,0.9,0.1,-,-,6.1
Ben Sheaf,0(1),7,-,-,-,-,-,1,-,-,6.1
Oliver Bostock,0(2),6,-,-,-,-,-,-,-,-,6.1
Silko-Amari Thomas,1(15),240,0.2,-,0.2,-,0.1,0.1,0.1,-,6.09
Jerry Yates,5,416,1,0.6,0.2,-,0.8,0.4,-,-,6.09
Ryan Allsop,10,900,0.1,-,-,-,0.9,0.2,-,-,6.09
Dajaune Brown,0(1),1,-,-,-,-,1,-,-,-,6.08
Kieran Dowell,1(4),150,-,0.6,0.4,-,0.2,0.2,-,-,6.08
Cameron Humphreys,0(3),10,0.3,0.3,-,-,-,0.3,-,-,6.08
Onel Hernández,2(4),222,0.7,0.5,0.8,0.2,1.2,0.7,-,-,6.08
Iké Ugbo,6(14),621,0.5,0.2,0.3,-,0.1,0.1,-,-,6.08
Danny Imray,2(1),108,1,0.7,1.7,-,-,0.7,-,-,6.08
Max O'Leary,5,450,-,-,-,-,0.8,-,-,-,6.08
Gatlin O'Donkor,0(1),3,-,-,1,-,-,-,-,-,6.07
Dan McNamara,3(5),311,0.6,0.9,0.8,-,0.9,0.1,0.1,-,6.07
Ryan Nyambe,3(4),262,0.9,0.1,0.4,0.1,0.7,0.3,0.1,-,6.07
Owen Eames,0(2),13,-,-,0.5,-,-,-,-,-,6.07
Reece Johnson,4(7),435,1,0.7,0.7,-,1.5,0.9,0.2,-,6.06
Brandon Williams,0(1),5,1,-,-,-,-,1,-,-,6.06
Dujuan Richards,0(1),13,-,-,-,-,-,-,-,-,6.06
Ryan Andrews,0(3),29,0.3,-,0.3,-,0.3,-,-,-,6.06
Miguel Ángel Brau,1(7),193,0.5,0.1,0.1,-,0.9,-,0.1,-,6.06
Yukinari Sugawara,1(1),67,-,-,-,-,0.5,-,-,-,6.06
Ryan Hardie,2(4),179,0.2,0.2,-,-,0.2,0.3,0.2,-,6.05
Jamie Shackleton,0(3),21,-,-,-,-,0.7,-,-,-,6.05
Rio Shipston,0(4),24,0.3,-,0.3,-,0.5,-,-,-,6.05
Bruno Fernandes,0(4),14,0.3,-,-,-,-,-,-,-,6.04
Harry Cornick,0(1),6,1,-,-,-,-,-,-,-,6.04
Nathan Broadhead,0(1),22,-,-,1,-,-,1,-,-,6.04
Thomas Waddingham,0(4),55,-,-,0.8,-,0.5,0.3,-,-,6.04
Conor Chaplin,1(3),133,-,-,-,-,-,0.3,-,-,6.04
Edoardo Bove,0(1),4,-,-,-,-,-,-,-,-,6.03
Harry Ashfield,0(1),3,-,-,-,-,-,-,-,-,6.03
Kanya Fujimoto,0(2),2,-,0.5,0.5,-,-,-,-,-,6.03
Milan Smit,3(1),223,0.3,-,0.5,-,0.5,0.3,-,-,6.03
Tom Bradshaw,0(5),64,-,-,-,-,0.2,-,-,-,6.02
Finley Munroe,0(2),6,-,-,0.5,-,-,0.5,-,-,6.02
Jahnoah Markelo,0(1),8,-,1,-,-,-,1,-,-,6.02
Tom Watson,1(2),107,0.3,-,0.7,-,0.3,-,-,-,6.02
Neto Borges,0(3),10,0.3,-,-,0.3,0.3,-,-,-,6.02
Devlan Moses,0(4),16,-,-,0.3,-,-,-,-,-,6.02
Bobby Wales,0(4),22,0.3,-,0.3,-,0.3,-,-,-,6.01
Jacob Farrell,0(1),7,-,-,-,-,-,-,-,-,6.01
Fally Mayulu,1(9),131,0.1,-,0.7,-,0.1,0.1,-,-,6.01
Micah Hamilton,1(3),51,0.5,-,0.3,-,0.3,-,-,-,6.01
Cruz Allen,0(1),1,-,-,-,-,-,-,-,-,6
Franco Umeh,0(1),1,-,-,-,-,-,-,-,-,6
Noah Mawene,0(1),1,-,-,-,-,-,-,-,-,6
Pierre Dwomoh,0(1),1,-,-,-,-,-,-,-,-,6
Tammer Bany,0(1),1,-,-,-,-,-,-,-,-,6
Tom Dele-Bashiru,0(1),4,-,-,-,-,-,-,-,-,6
Wes Harding,2(6),201,0.6,0.3,0.6,-,1.5,-,0.3,-,6
James Morris,0(2),4,0.5,-,-,-,1.5,-,-,-,6
Jay Rodriguez,0(4),7,-,-,0.8,-,0.3,-,-,-,6
Toby Collyer,0(1),14,-,-,1,-,-,-,-,-,5.99
Joe Aribo,1(1),104,0.5,-,0.5,-,1,1,-,-,5.99
Nathan Dlamini,0(4),26,-,-,-,-,-,-,-,-,5.99
Aji Alese,0(1),4,-,-,-,-,3,1,-,-,5.98
Joe Emery,0(1),3,-,-,-,-,-,-,-,-,5.98
Joe Aribo,0(7),111,0.1,0.1,0.1,-,0.6,0.3,-,-,5.98
Damion Downs,1(10),277,-,-,0.4,-,0.4,0.2,-,-,5.97
Kevin Nisbet,0(2),13,-,-,-,-,0.5,-,-,-,5.97
Archie Baptiste,0(1),1,-,-,-,-,-,-,-,-,5.97
Josh Laqeretabua,0(1),2,-,-,-,-,-,-,-,-,5.97
Marcus Forss,0(1),1,-,-,1,-,-,-,-,-,5.97
Nicholas Oyekunle,0(2),29,-,-,1.5,-,-,-,-,-,5.97
Aodhan Doherty,1(2),85,0.7,-,0.3,-,0.3,-,-,-,5.97
Louie Sibley,0(3),19,-,-,-,-,-,-,-,-,5.96
Matty Godden,1(5),137,-,0.2,0.3,-,0.2,-,-,-,5.96
Davis Keillor-Dunn,0(1),18,-,-,-,-,-,-,-,-,5.96
Yunus Konak,1(2),102,-,-,0.7,-,0.3,0.3,-,-,5.95
Seny Dieng,1,90,-,-,-,-,-,-,-,-,5.93
Jack Grieves,0(1),18,-,1,-,-,-,1,-,-,5.91
Taylor Gardner-Hickman,0(1),1,-,-,1,-,-,-,-,-,5.88
Paddy McNair,2,166,1.5,0.5,1.5,0.5,1.5,-,-,1,5.87
Joel Ndala,2(1),197,1,0.7,1.7,-,0.3,0.3,-,-,5.87
Favour Onukwuli,0(3),20,-,-,-,-,0.3,-,-,-,5.85
Olabade Aluko,1(4),146,0.2,-,0.6,-,2.4,-,0.2,-,5.85
Olutayo Singerr,0(1),16,-,-,-,-,-,-,-,-,5.83
Nathan Redmond,0(6),103,0.3,0.2,0.3,0.2,0.2,0.2,-,-,5.82
Joe Williams,0(2),30,0.5,0.5,-,-,0.5,-,-,1,5.81
Aidomo Emakhu,2(1),160,1,0.3,0.3,-,1.7,0.3,-,-,5.74
Joe Wildsmith,7,630,-,-,-,-,0.9,0.1,-,-,5.7
Marvelous Nakamba,0(1),29,1,-,2,-,1,-,-,-,5.66
Adam Davies,0(1),45,-,-,-,-,2,-,-,-,5.46
Joe Rothwell,0(1),35,-,-,1,-,-,-,-,-,5.15
Rhys Norrington-Davies,1,57,-,-,-,-,-,-,-,-,4.71
