Player,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
James Justin,2,155,0.5,0.5,0.5,-,3.5,-,0.5,-,6.69
Casper De Norre,18(2),1524,2,1.2,0.8,-,1.8,0.9,0.1,-,6.69
Ben Nelson,17,1434,1.5,1.2,0.2,0.8,7.4,0.3,0.9,-,6.69
Semi Ajayi,9(3),867,1.3,1.2,0.3,0.4,4.2,0.2,0.6,-,6.69
Chris Mepham,21(4),1935,1,1,0.7,0.3,6.5,0.3,0.4,-,6.69
Oscar Schwartau,21(9),1859,1.7,0.5,0.5,-,0.6,0.9,-,-,6.69
Luke Woolfenden,7(5),705,0.7,0.8,0.4,0.7,4.1,0.2,1,-,6.69
Papa Diallo,6(3),540,1.1,0.6,0.3,-,0.8,-,-,-,6.68
Rumarn Burrell,21(5),1847,0.3,0.2,1,-,0.5,0.2,-,-,6.68
James Beadle,23,2070,-,-,-,-,1.3,-,-,-,6.68
Josh Windass,19(9),1581,0.3,0.1,0.4,-,0.5,0.4,-,-,6.68
Nathan Broadhead,14(12),1365,0.5,0.2,0.3,-,0.4,0.2,0.1,-,6.68
Ryan Giles,26(1),2169,0.9,0.4,0.6,0.2,2.8,0.4,0.3,-,6.68
Luca Kjerrumgaard,25(6),2076,0.3,0.1,0.8,0.1,1.1,0.2,-,-,6.68
Miles Leaburn,17(12),1720,0.6,0.2,1.1,-,1.4,0.3,-,-,6.68
Amadou Mbengue,25(4),2243,1.7,0.8,1.3,0.3,3.4,0.7,0.6,1,6.68
Jonathan Varane,20(4),1618,2.1,1.1,0.9,0.2,2.4,0.5,0.4,-,6.68
Ryan Leonard,11(8),1097,2.1,0.5,1.2,0.2,2.5,0.5,0.2,-,6.67
Luke Chambers,6,446,1.3,0.3,0.8,-,3.8,1.3,-,-,6.67
Josh Murphy,12(2),1062,0.6,0.4,0.4,-,0.3,0.6,-,-,6.67
Aaron Cresswell,20(2),1802,1,0.8,0.2,0.1,2,0.2,0.1,-,6.67
Dan Scarr,10(4),892,0.1,0.7,0.4,0.3,6,0.5,0.7,-,6.67
Lewis Brunt,6(3),551,0.9,0.9,0.6,0.1,4.6,0.6,1.1,-,6.67
Arthur Okonkwo,29(1),2611,-,-,-,-,1.3,-,-,-,6.67
Jordan Ayew,22(8),1983,0.8,0.4,1.5,-,1.4,0.4,0.1,-,6.67
Mateus Fernandes,2(1),190,1,0.3,0.7,-,-,0.3,-,-,6.66
Egil Selvik,27,2386,-,-,-,-,1.8,-,-,-,6.66
Colby Bishop,26(3),2379,0.5,0.1,0.9,0.1,1.4,0.2,0.2,-,6.66
Jakov Medic,12(2),1119,0.4,1,0.2,0.2,5.5,0.4,1.4,-,6.66
Jamaldeen Jimoh-Aloba,3,193,2.3,1.3,1,-,-,0.3,-,-,6.66
Darnell Furlong,3,270,0.7,0.7,2,-,5.3,0.3,0.7,-,6.65
Ellis Simms,10(20),1095,0.2,-,0.3,-,0.6,0.1,0.1,-,6.65
Kellen Fisher,26(4),2369,2.4,1.1,1.2,0.2,2.6,0.3,0.4,-,6.65
Alan Browne,16(11),1617,1.1,1,0.6,-,1.8,0.7,0.2,-,6.65
Krystian Bielik,9(6),811,1.1,1.2,0.9,0.1,3,0.5,0.3,-,6.65
Amari'i Bell,22(1),1865,1,1,0.6,0.3,3.9,0.4,0.7,-,6.65
Rhys Norrington-Davies,22(4),1997,1.9,0.6,0.9,0.2,2.4,0.5,0.3,-,6.65
Sam Long,23(4),2119,1.4,1,0.6,0.6,4.1,0.6,0.6,-,6.65
Ivor Pandur,32,2880,-,-,-,-,1.2,-,-,-,6.64
Million Manhoef,23(9),2073,0.4,0.1,0.8,-,0.3,0.3,0.1,-,6.64
Marvin Ducksch,19(5),1452,-,0.2,0.4,-,0.5,0.1,-,-,6.64
Saba Goglichidze,2(1),167,2,-,-,-,3.7,0.3,0.3,-,6.64
Josh Coburn,10(4),865,0.5,0.2,1.2,-,0.9,0.3,0.1,-,6.64
Kyle Joseph,22(8),1779,1.1,0.3,1.3,-,1.2,0.7,0.1,-,6.64
Ben Sheaf,24(3),1818,1.4,0.9,0.7,-,1.1,0.8,0.3,-,6.64
Oliver Rathbone,5(8),485,1.2,0.5,0.3,-,0.4,0.2,0.1,-,6.64
Kayne Ramsay,25(3),2299,1.9,1.1,1.3,-,3.1,0.3,0.6,1,6.64
Tommy Simkin,8,720,-,-,-,-,1.5,0.1,-,-,6.64
Max Bird,0(6),160,1.2,0.5,0.5,-,0.7,0.2,0.2,-,6.64
Bae Jun-Ho,26(5),2298,1.2,0.4,0.5,-,0.6,0.3,-,-,6.63
Ebou Adams,16(7),1505,2.6,1.1,1.6,-,2.2,0.6,0.3,-,6.63
Lewis Dobbin,21(5),1574,0.5,-,0.5,-,0.2,0.4,-,-,6.63
Andri Gudjohnsen,17(5),1435,0.2,0.1,0.9,-,0.7,0.1,0.1,-,6.63
Rocco Vata,6(6),523,0.8,0.1,0.4,-,0.3,0.6,-,-,6.63
Matty James,19(12),1799,1.6,0.5,0.2,-,1.2,0.4,0.2,-,6.63
Ryoya Morishita,21(3),1562,0.8,0.3,0.8,-,0.4,0.4,-,-,6.63
Callum Lang,7(1),578,1.1,0.4,1.3,-,0.4,1.1,0.3,-,6.63
Harrison Armstrong,13(4),1132,1.1,0.7,0.6,-,1.2,0.4,0.4,-,6.63
Isaac Price,30(3),2518,1.2,0.2,0.6,-,0.8,0.7,0.2,-,6.63
Jairo Riedewald,12(2),923,1.5,0.6,0.4,-,1.7,0.7,0.4,-,6.63
Michael Cooper,33,2926,-,-,-,-,1,-,-,-,6.62
Billy Mitchell,17(4),1471,2,1,0.9,-,1.7,0.5,0.4,-,6.62
Akin Famewo,6(7),550,1.2,0.5,0.2,0.2,1.8,0.1,0.3,-,6.62
Mathias Jørgensen,6(2),570,0.1,-,-,-,1.3,0.1,0.4,-,6.62
Sam Field,2(1),208,1.3,0.3,0.7,-,0.7,0.3,0.3,-,6.62
Vladan Kovacevic,32,2880,-,-,-,-,1.7,-,-,-,6.62
Filip Krastev,10(6),857,2.4,1,0.9,-,0.7,0.8,0.1,-,6.62
Eom Ji-Sung,22(10),1725,1.1,0.5,0.7,-,0.9,0.3,0.1,-,6.62
Max Lowe,20,1776,1.8,1.6,0.9,0.5,4.2,0.9,1,-,6.61
Odeluga Offiah,21(10),2032,2.5,0.5,0.7,0.1,2.8,0.2,0.4,1,6.61
Thierry Small,23(9),2074,0.9,0.3,0.4,0.2,1.5,0.2,0.1,-,6.61
Ronald,26(7),2360,1.2,0.5,0.6,-,0.9,0.5,-,-,6.61
Yuri Ribeiro,9(2),779,1.6,0.5,0.9,-,3,0.4,0.4,-,6.61
Zak Vyner,27,2323,1.3,0.7,0.9,0.2,3.7,0.6,0.6,-,6.61
Jay Stansfield,29(2),2416,1,0.3,1.5,-,0.4,0.5,-,-,6.6
